Geography	Canada
Q1 1948	12710000
Q2 1948	12773000
Q3 1948	12852000
Q4 1948	12930000
Q1 1949	12998000
Q2 1949	13399000
Q3 1949	13475000
Q4 1949	13548000
Q1 1950	13607000
Q2 1950	13663000
Q3 1950	13737000
Q4 1950	13807000
Q1 1951	13870000
Q2 1951	13937000
Q3 1951	14050000
Q4 1951	14163000
Q1 1952	14277000
Q2 1952	14376000
Q3 1952	14496000
Q4 1952	14598000
Q1 1953	14682000
Q2 1953	14763000
Q3 1953	14886000
Q4 1953	15001000
Q1 1954	15105000
Q2 1954	15199000
Q3 1954	15330000
Q4 1954	15444000
Q1 1955	15535000
Q2 1955	15620000
Q3 1955	15736000
Q4 1955	15834000
Q1 1956	15919000
Q2 1956	16004000
Q3 1956	16123000
Q4 1956	16235000
Q1 1957	16352000
Q2 1957	16479000
Q3 1957	16677000
Q4 1957	16810000
Q1 1958	16907000
Q2 1958	16997000
Q3 1958	17120000
Q4 1958	17225000
Q1 1959	17318000
Q2 1959	17406000
Q3 1959	17522000
Q4 1959	17624000
Q1 1960	17710000
Q2 1960	17793000
Q3 1960	17909000
Q4 1960	18009000
Q1 1961	18092000
Q2 1961	18172000
Q3 1961	18271000
Q4 1961	18363000
Q1 1962	18442000
Q2 1962	18519000
Q3 1962	18614000
Q4 1962	18708000
Q1 1963	18787000
Q2 1963	18864000
Q3 1963	18964000
Q4 1963	19061000
Q1 1964	19142000
Q2 1964	19222000
Q3 1964	19325000
Q4 1964	19420000
Q1 1965	19501000
Q2 1965	19578000
Q3 1965	19678000
Q4 1965	19777000
Q1 1966	19857000
Q2 1966	19939000
Q3 1966	20048000
Q4 1966	20146000
Q1 1967	20228000
Q2 1967	20306000
Q3 1967	20412000
Q4 1967	20509000
Q1 1968	20581000
Q2 1968	20644000
Q3 1968	20729000
Q4 1968	20814000
Q1 1969	20888000
Q2 1969	20950000
Q3 1969	21028000
Q4 1969	21111000
Q1 1970	21182000
Q2 1970	21244000
Q3 1970	21324000
Q4 1970	21400000
Q1 1971	21465000
Q2 1971	21523000
Q3 1971	21962032
Q4 1971	22039243
Q1 1972	22092498
Q2 1972	22148919
Q3 1972	22218463
Q4 1972	22288499
Q1 1973	22347459
Q2 1973	22405392
Q3 1973	22491777
Q4 1973	22570338
Q1 1974	22649538
Q2 1974	22723274
Q3 1974	22807969
Q4 1974	22907390
Q1 1975	22979190
Q2 1975	23048990
Q3 1975	23143275
Q4 1975	23240585
Q1 1976	23304197
Q2 1976	23369845
Q3 1976	23449808
Q4 1976	23533565
Q1 1977	23591713
Q2 1977	23656739
Q3 1977	23725843
Q4 1977	23801445
Q1 1978	23849503
Q2 1978	23903687
Q3 1978	23963203
Q4 1978	24025447
Q1 1979	24071889
Q2 1979	24128180
Q3 1979	24201544
Q4 1979	24279044
Q1 1980	24345365
Q2 1980	24418295
Q3 1980	24515667
Q4 1980	24603534
Q1 1981	24665355
Q2 1981	24732826
Q3 1981	24819915
Q4 1981	24920120
Q1 1982	24979229
Q2 1982	25042069
Q3 1982	25116942
Q4 1982	25193538
Q1 1983	25242830
Q2 1983	25300372
Q3 1983	25366451
Q4 1983	25434150
Q1 1984	25482358
Q2 1984	25539861
Q3 1984	25607053
Q4 1984	25677668
Q1 1985	25721170
Q2 1985	25774717
Q3 1985	25842116
Q4 1985	25914797
Q1 1986	25962414
Q2 1986	26019615
Q3 1986	26100278
Q4 1986	26187639
Q1 1987	26256140
Q2 1987	26346370
Q3 1987	26446601
Q4 1987	26542370
Q1 1988	26602328
Q2 1988	26679165
Q3 1988	26791747
Q4 1988	26932655
Q1 1989	27032356
Q2 1989	27147776
Q3 1989	27276781
Q4 1989	27402695
Q1 1990	27463550
Q2 1990	27567161
Q3 1990	27691138
Q4 1990	27807591
Q1 1991	27854861
Q2 1991	27928837
Q3 1991	28037420
Q4 1991	28127327
Q1 1992	28181477
Q2 1992	28269699
Q3 1992	28371264
Q4 1992	28474177
Q1 1993	28533602
Q2 1993	28600864
Q3 1993	28684764
Q4 1993	28786619
Q1 1994	28835772
Q2 1994	28907448
Q3 1994	29000663
Q4 1994	29096372
Q1 1995	29141902
Q2 1995	29211541
Q3 1995	29302311
Q4 1995	29396274
Q1 1996	29446857
Q2 1996	29514217
Q3 1996	29610218
Q4 1996	29708206
Q1 1997	29751536
Q2 1997	29818012
Q3 1997	29905948
Q4 1997	29994790
Q1 1998	30028506
Q2 1998	30080180
Q3 1998	30155173
Q4 1998	30231639
Q1 1999	30260117
Q2 1999	30314696
Q3 1999	30401286
Q4 1999	30492106
Q1 2000	30525872
Q2 2000	30594030
Q3 2000	30685730
Q4 2000	30783969
Q1 2001	30824441
Q2 2001	30910996
Q3 2001	31020855
Q4 2001	31128873
Q1 2002	31168896
Q2 2002	31252682
Q3 2002	31359199
Q4 2002	31450677
Q1 2003	31479415
Q2 2003	31549344
Q3 2003	31642461
Q4 2003	31736141
Q1 2004	31775723
Q2 2004	31844704
Q3 2004	31938807
Q4 2004	32038207
Q1 2005	32075011
Q2 2005	32140569
Q3 2005	32242732
Q4 2005	32353311
Q1 2006	32394909
Q2 2006	32470171
Q3 2006	32571193
Q4 2006	32680839
Q1 2007	32717848
Q2 2007	32785964
Q3 2007	32888886
Q4 2007	33001918
Q1 2008	33050262
Q2 2008	33127394
Q3 2008	33247298
Q4 2008	33372978
Q1 2009	33427754
Q2 2009	33512305
Q3 2009	33630069
Q4 2009	33758581
Q1 2010	33809016
Q2 2010	33890461
Q3 2010	34005902
Q4 2010	34132531
Q1 2011	34166633
Q2 2011	34230555
Q3 2011	34339221
Q4 2011	34457713
Q1 2012	34516032
Q2 2012	34592192
Q3 2012	34713395
Q4 2012	34834973
Q1 2013	34881794
Q2 2013	34956567
Q3 2013	35080992
Q4 2013	35209597
Q1 2014	35247023
Q2 2014	35320540
Q3 2014	35434066
Q4 2014	35555305
Q1 2015	35571043
Q2 2015	35606734
Q3 2015	35704498
Q4 2015	35823591
Q1 2016	35871484
Q2 2016	35970407
Q3 2016	36110803
Q4 2016	36257421
Q1 2017	36313068
Q2 2017	36397141
Q3 2017	36545075
Q4 2017	36722075
Q1 2018	36801579
Q2 2018	36903671
Q3 2018	37072620
Q4 2018	37259485
Q1 2019	37336956
Q2 2019	37437243
Q3 2019	37618495
Q4 2019	37828162
Q1 2020	37928208
Q2 2020	38006941
Q3 2020	38028638
Q4 2020	38027406
Q1 2021	38058291
Q2 2021	38140918
Q3 2021	38239864
Q4 2021	38451454
Q1 2022	38567576
Q2 2022	38683567
Q3 2022	38939056
Q4 2022	39276140
Q1 2023	39498018
Q2 2023	39739633
Q3 2023	40097761
Q4 2023	40528396
